番号,単　語,品詞,意　味,用　例,チェック
1583,understand,動,理解する　　　【活用】 understand - understood - understood,Did you understand this story?,
1584,underwear,名,下着,I have to buy new underwear.,
1585,uniform,名,制服、ユニフォーム,I like my school uniform.,
1586,unique,形,特有の、独特の,I saw some unique animals there.,
1587,United Kingdom,名,イギリス（正式国名は、The United Kingdom of Great Britain and Northern Ireland）　※U.K.（UK） （省略語）,Football is the most popular sport in the United Kingdom.,
1588,United Nations,名,国際連合　　※U.N.（UN）(省略語),The United Nations had a meeting to talk about the problem.,
1589,United States,名,"アメリカ合衆国(正式国名は、the United States of America)　　　　　
※U.S.（US）又は U.S.A.（USA） （省略語）",I want to visit the United States to watch baseball.,
1590,university,名,（総合）大学,I will go to university to study science.,
1591,until,前・接,～（する）まで,I will not go to bed until I finish this homework.,
1592,up,前・副,上へ　　,The plane went up into the sky.,
1593,us,代,私たちを（に）,Please ask us if you don't know what to do.,
1594,use,動,使う　　　　,You can use my dictionary.,
1595,used,動・形,"①（動）※used to do～　以前はよく～したものだ　　
②（形）使い古した、中古の","①I used to play tennis with my friends on weekends.
②My father bought a used car.",
1596,useful,形,役に立つ,The Internet is useful for getting information.,
1597,usually,副,ふつう、たいてい,I usually get up at 6 o'clock.,
1598,vacation,名,休暇、休み,What are you going to do during summer vacation?,
1599,variety,名,バラエティー、変化に富むこと　※variety show   バラエティー・ショー,I watched variety shows on TV yesterday.,
1600,vegetable,名,野菜,We have vegetables every day.,
1601,vending machine,名,自動販売機,You can see a lot of vending machines in Japan.,
1602,very,副,とても、非常に,I was very happy to see my old friend. ,
1603,victory,名,勝利、優勝,This victory gave us hope.,
1604,video,名,ビデオ,Watch this video first.  We will talk about it later.,
1605,video game,名,テレビゲーム,The boy is playing a video game.,
1606,Vietnam,名,ベトナム,I have a friend in Vietnam.,
1607,view,名,眺め、風景、考え　　　　※point of view  考え方,The night view from Mt. Rokko is so beautiful.,
1608,village,名,村、村落,People help each other in this small village.,
1609,violin,名,バイオリン,He can play the violin very well.,
1610,visit,動・名,訪問（する）,My friend in Australia will visit my family next month.,
1611,visitor,名,訪問者、訪問客,Japan has many visitors from foreign countries.,
1612,voice,名,声,"Sorry, I can't hear your voice.",
1613,volleyball,名,バレーボール,The boy plays volleyball every day.,
1614,volunteer,名,"自分から進んでやる人、ボランティア     
※volunteer work ボランティア活動",I am going to do volunteer work to help people.,
1615,wait,動,待つ　　　　　※wait for ～　～を待つ,Please wait here until I come back.,
1616,wake,動,起きる、起こす　　※wake ～ up　～を起こす,I have to wake up my sister every morning.,
1617,walk,動・名,歩く（こと）､散歩　　　　　　※take a walk  散歩する,I walk to school every day.,
1618,wall,名,壁、塀,There are two pictures on the wall.,
1619,wallet,名,財布,"Oh, no!  I lost my wallet.",
1620,want,動,"～がほしい　
※want to ～　～したい　want 人 to～　人に～してもらいたい",I want to try a different sport in high school.,
1621,war,名,戦争、戦い,People were happy when the war ended.,
1622,warm,形,暖かい,Hyogo is nice and warm in May.,
1623,was,動,"～であった、（～に）いた、あった （is, am の過去形）",My family came to Hyogo when I was five years old.,
1624,wash,動,洗う,I sometimes wash dishes for my family.,
1625,waste,動・名,むだ（づかい）、浪費（する）,It's a waste of time.,
1626,watch,動・名,"①（動）見る
②（名）腕時計","①I am watching TV now.
②This watch is a present from my father.",
1627,water,名,水,You should drink a lot of water in summer.,
1628,wave,名,波,The big waves crashed against the rocks.,
1629,way,名,"①道　    ※by the way  ところで 　on the way to～　～へ行く途中で
②方法   ","①Can you tell me the way to the museum?
②You can solve this problem in three ways.",
1630,we,代,私たちは（が）,We had a very good time last Sunday.,
1631,weak,形,弱い、かすかな,I heard a weak voice.,
1632,wear,動,身に付けている　　　【活用】 wear - wore - worn,We must wear our school uniform in school.,
1633,weather,名,天気,The weather will be nice next weekend.,
1634,website,名,ウェブサイト,This website is useful for getting information about Hyogo.,
1635,Wednesday,名,水曜日,My father comes home early on Wednesdays.,
1636,week,名,週,We are going to have an exam next week.,
1637,weekend,名,週末,Please enjoy your weekend.,
1638,welcome,動・間・形,"①（動）歓迎する、（間）ようこそ　　　※Welcome to～へようこそ
②（形）歓迎される　　　※You're welcome.  どういたしまして","①Welcome to Hyogo.
②A: Thank you for your help.   B: You're welcome.",
1639,well,形・副・間,"①（形・副）うまい、うまく、上手に、健康で　
②（間）え～と、さて、ところで","①My mother cooks very well.
②A: How was your weekend?  B: Well, it was not bad.",
1640,were,動,～であった、（～に）いた、あった （are の過去形）　,We were very nervous on the stage.,
1641,west,名・形・副,西（の、へ）、西方,A strong wind is blowing from the west.,
1642,western,形,西の、（大文字で）西洋の,I like Japanese food better than Western food.,
1643,what,代・形,"何､何の､どんな　　　　
※What a ～!　なんという～　What about ～?　～はどうですか　What's up?  どうしたの　What's wrong ? / What's the matter?  どうかしたの 　What time ～?　何時に～ですか  what to ～ 何を～したらよいか",What did you do during the summer vacation?,
1644,when,接・副,いつ、～するとき　　※when to～　いつ～したらよいか,I feel happy when I am with my friends.,
1645,where,副,どこに（へ）　　　　※where to～　どこに～したらよいか,Where did you find my bag?,
1646,which,代・形,"①どちら（の）、どれ（どの）　　
②～する・・・　（名詞＋which～）前にある人以外の名詞を修飾する【関係代名詞】","①Which subject do you like the best?
②This is the watch which my father gave me.",
1647,while,接・名,（～する）間に　　※  for a while　しばらくの間,I will sing the song while you are playing the piano.,
1648,white,名・形,白（の）,We have to wear white shirts and shoes for school.,
1649,who,代,"①だれ  
②～する・・・　（名詞＋who～）前にある人を表す名詞を修飾する【関係代名詞】","①Who is he?
②The girl who is running over there is my sister.",
1650,whole,形,全体の、すべての,I am the happiest girl in the whole world.,
1651,whose,代,だれの,Whose bag is this?   There's no name on it.,
1652,why,副,なぜ　※Why don't you ～?  ～しませんか、why not? ええ、もちろん,Why don’t you have lunch with us?,
1653,wide,形・副,幅の広い、幅が～ある,The river is about 30 meters wide.,
1654,wife,名,妻,He said that he met his wife in high school.,
1655,wild,名・形,野生（の）　　　　,These are pictures of wild animals in Australia.,
1656,will,助,～でしょう、～するつもりである　※Will you～?　～してくれませんか,I will never forget about this game.,
1657,win,動,勝つ　　　　　【活用】 win - won - won,We practiced very hard to win the last game.,
1658,wind,名,風,We can use the wind to make electricity.,
1659,window,名,窓,Could you open the window?,
1660,windy,形,風の強い,It's windy today.,
1661,wing,名,翼,That bird has big wings.,
1662,winner,名,勝つ（勝った）人、勝利者,I was a winner at the game.,
1663,winter,名,冬,I like winter because I can ski.,
1664,wish,動・名,（動）願う　　（名）願い　　　　※make a wish  願いごとをする,We make a wish on New Year's Day.,
1665,with,前,"①～といっしょに  
②～のある、～を持った  
③～を使って","①I like to play with children.
②The woman with short hair is our P.E. teacher.
③You can make origami with this paper.",
1666,within,前,～以内で,Please finish writing within five minutes.,
1667,without,前,～なしで,We cannot live without help from other people.,
1668,woman,名,（大人の）女性      【複数】 women,That woman is my homeroom teacher.,
1669,wonder,動,～かなあと思う、～かどうか知りたいと思う,I wonder why she can't come.,
1670,wonderful,形,すばらしい、とてもすてきな,The wonderful time passed quickly.,
1671,wood,名,（切った）木、木材,This floor is made of wood.,
1672,word,名,ことば、単語,The word “heiwa” means “peace” in English.,
1673,work,動・名,"（動）働く、勉強する　（名）仕事、勉強、作品　　
※at work 仕事に出かけていて",I want to work abroad in the future.,
1674,worker,名,労働者,My father is an office worker.,
1675,world,名,世界　　※ all over the world 世界中,The book is read all over the world.,
1676,World Heritage (Site),名,世界遺産,Himeji Castle is a World Heritage Site. ,
1677,worried,形,心配した、不安な,I am worried about the test next week.,
1678,worry,動,心配する,Don't worry.,
1679,worse,形,もっと悪い（下手な、ひどい）　（bad の比較級）,The weather will be worse tomorrow.,
1680,worst,形,最も悪い（下手な、ひどい） （badの最上級）,It was the worst typhoon we've ever had. ,
1681,would,助,willの過去形　　※would like to～　～したいと思う　　Would you～?　～してくださいませんか   Would you like～?　～はいかがですか　　Would you like to～?　～したいですか,Would you like some coffee?,
1682,wow,間,うわー！わあ！（驚き・喜びを表す）,Wow!  That's great!,
1683,wrap,動,包む、包装する,Could you wrap it for me?,
1684,write,動,書く　　【活用】 write - wrote - written,We write our wishes on small pieces of paper.,
1685,writer,名,作家、著者,Haruki Murakami is a famous writer who grew up in Hyogo.,
1686,writing,名,書くこと、書かれた文字、筆跡,His writing is very good.,
1687,wrong,形,悪い、調子が悪い、間違っている     ※What's wrong ? どうしたの,I was wrong.  You are right.,
1688,year,名,年、１年　　　　　※ ～year(s) later  ～年後、　～year(s) old ～歳,She is thirty-six years old.,
1689,yellow,名・形,黄色（の）,The red bag is smaller than the yellow bag.,
1690,yen,名,円（日本の通貨単位）,A: How much is this?  B: It's two thousand yen.,
1691,yes,副,はい、そうです,"A: Do you like dogs?  B: Yes, I do.",
1692,yesterday,副・名,昨日（は）,I played basketball yesterday.,
1693,yet,副,"①（否定文で）まだ～（しない）　※not～yet　まだ～していない
②（肯定の疑問文で）もう～したか","①I haven’t finished my homework yet.
②Have you finished your homework yet?",
1694,you,代,あなた、あなたたち,Have you ever been to the U.S.?,
1695,young,形,若い、幼い,"When I was young, I lived in Amagasaki.",
1696,your,代,あなたの、あなたたちの,Your computer is newer than mine.,
1697,yours,代,あなたのもの、あなたたちのもの,I want a bag like yours.,
1698,yourself,代,あなた自身を（で、に、が）　　※by yourself 　自分で、あなた自身で,You can do it by yourself.,
1699,zero,名・形,０、ゼロ（の）,"In winter, the temperature often falls below zero.",
1700,zoo,名,動物園,I went to Oji zoo yesterday.,
